sessionID,unit
jp083n02,spikeUnit08
jp083n02,spikeUnit17
jp083n02,spikeUnit05
jp083n02,spikeUnit09
jp083n02,spikeUnit10
jp083n02,spikeUnit11
jp083n02,spikeUnit13
jp083n02,spikeUnit16
jp083n02,spikeUnit22
jp083n02,spikeUnit23
jp113n02,spikeUnit09
jp113n02,spikeUnit26
jp114n04,spikeUnit13
jp114n04,spikeUnit14
