sessionID,unit,category
jp123n02,spikeUnit20,noddm_cancel
jp123n02,spikeUnit21,noddm_cancel
jp123n02,spikeUnit22,noddm_cancel
jp123n02,spikeUnit26,noddm_cancel
jp123n02,spikeUnit27,noddm_cancel
jp123n02,spikeUnit31,noddm_cancel
jp124n04,spikeUnit02,noddm_cancel
jp124n04,spikeUnit08,noddm_cancel
jp124n04,spikeUnit12,noddm_cancel
jp124n04,spikeUnit14,noddm_cancel
jp124n04,spikeUnit15,noddm_cancel
jp124n04,spikeUnit16,noddm_cancel
jp124n04,spikeUnit22,noddm_cancel
jp124n04,spikeUnit27,noddm_cancel
jp124n04,spikeUnit28,noddm_cancel
jp124n04,spikeUnit31,noddm_cancel
jp125n04,spikeUnit04,noddm_cancel
jp125n04,spikeUnit09,noddm_cancel
jp125n04,spikeUnit20,noddm_cancel
jp125n04,spikeUnit22,noddm_cancel
jp125n04,spikeUnit23,noddm_cancel
jp083n02,spikeUnit17,ddm_nocancel
jp083n02,spikeUnit20,ddm_nocancel
jp083n02,spikeUnit26,ddm_nocancel
jp083n02,spikeUnit30,ddm_nocancel
jp107n02,spikeUnit11,ddm_nocancel
jp107n02,spikeUnit18,ddm_nocancel
jp123n02,spikeUnit10,ddm_nocancel
jp125n04,spikeUnit06,ddm_nocancel
jp125n04,spikeUnit24,ddm_nocancel
jp125n04,spikeUnit26,ddm_nocancel
jp083n02,spikeUnit11,noddm_nocancel
jp083n02,spikeUnit13,noddm_nocancel
jp083n02,spikeUnit14,noddm_nocancel
jp083n02,spikeUnit15,noddm_nocancel
jp083n02,spikeUnit16,noddm_nocancel
jp090n02,spikeUnit06,noddm_nocancel
jp090n02,spikeUnit21,noddm_nocancel
jp106n02,spikeUnit27,noddm_nocancel
jp106n02,spikeUnit29,noddm_nocancel
jp110n02,spikeUnit09,noddm_nocancel
jp113n02,spikeUnit06,noddm_nocancel
jp113n02,spikeUnit23,noddm_nocancel
jp113n02,spikeUnit24,noddm_nocancel
jp114n04,spikeUnit30,noddm_nocancel
jp119n02,spikeUnit13,noddm_nocancel
jp123n02,spikeUnit09,noddm_nocancel
jp123n02,spikeUnit15,noddm_nocancel
jp123n02,spikeUnit23,noddm_nocancel
jp124n04,spikeUnit07,noddm_nocancel
jp124n04,spikeUnit21,noddm_nocancel
