sessionID,unit,rf,ssd,ssrt,coherence,easyHard,cancelTime
bp222n02,spikeUnit06,right,88,66,0.58,1,NaN
bp227n02,spikeUnit07,right,233,70,0.58,1,NaN
bp227n02,spikeUnit07,right,378,70,0.53,2,4
bp227n02,spikeUnit07,right,233,70,0.53,2,NaN
bp227n02,spikeUnit07,right,87,70,0.58,1,NaN
bp228n02,spikeUnit09,right,232,65,0.58,1,-53
bp228n02,spikeUnit09,right,232,65,0.53,2,NaN
bp228n02,spikeUnit09,right,378,65,0.53,2,13
bp228n02,spikeUnit09,right,88,65,0.58,1,NaN
bp228n02,spikeUnit13,left,378,65,0.42,1,-3
bp228n02,spikeUnit13,left,378,65,0.47,2,-30
bp228n02,spikeUnit13,left,232,65,0.47,2,NaN
bp228n02,spikeUnit13,left,232,65,0.42,1,NaN
bp228n02,spikeUnit13,left,521,65,0.47,2,NaN
bp228n02,spikeUnit15,right,232,65,0.58,1,NaN
bp228n02,spikeUnit15,right,232,65,0.53,2,NaN
bp228n02,spikeUnit15,right,378,65,0.53,2,NaN
bp228n02,spikeUnit15,right,88,65,0.58,1,-47
bp228n02,spikeUnit30,left,378,65,0.42,1,83
bp228n02,spikeUnit30,left,378,65,0.47,2,NaN
bp228n02,spikeUnit30,left,232,65,0.47,2,-48
bp228n02,spikeUnit30,left,232,65,0.42,1,NaN
bp228n02,spikeUnit30,left,521,65,0.47,2,-57
bp229n02-mm,spikeUnit02,right,89,54,0.58,1,NaN
bp229n02-mm,spikeUnit02,right,233,54,0.58,1,NaN
bp229n02-mm,spikeUnit02,right,377,54,0.53,2,NaN
bp229n02-mm,spikeUnit02,right,233,54,0.53,2,NaN
bp229n02-mm,spikeUnit03,right,89,54,0.58,1,28
bp229n02-mm,spikeUnit03,right,233,54,0.58,1,NaN
bp229n02-mm,spikeUnit03,right,377,54,0.53,2,NaN
bp229n02-mm,spikeUnit03,right,233,54,0.53,2,NaN
bp229n02-mm,spikeUnit04,right,89,54,0.58,1,45
bp229n02-mm,spikeUnit04,right,233,54,0.58,1,8
bp229n02-mm,spikeUnit04,right,377,54,0.53,2,-1
bp229n02-mm,spikeUnit04,right,233,54,0.53,2,12
bp229n02-mm,spikeUnit05,right,89,54,0.58,1,NaN
bp229n02-mm,spikeUnit05,right,233,54,0.58,1,NaN
bp229n02-mm,spikeUnit05,right,377,54,0.53,2,NaN
bp229n02-mm,spikeUnit05,right,233,54,0.53,2,NaN
bp229n02-mm,spikeUnit06,right,89,54,0.58,1,NaN
bp229n02-mm,spikeUnit06,right,233,54,0.58,1,NaN
bp229n02-mm,spikeUnit06,right,377,54,0.53,2,NaN
bp229n02-mm,spikeUnit06,right,233,54,0.53,2,NaN
bp229n02-mm,spikeUnit12,right,89,54,0.58,1,NaN
bp229n02-mm,spikeUnit12,right,233,54,0.58,1,-47
bp229n02-mm,spikeUnit12,right,377,54,0.53,2,NaN
bp229n02-mm,spikeUnit12,right,233,54,0.53,2,64
bp229n02-mm,spikeUnit14,right,89,54,0.58,1,-38
bp229n02-mm,spikeUnit14,right,233,54,0.58,1,-15
bp229n02-mm,spikeUnit14,right,377,54,0.53,2,NaN
bp229n02-mm,spikeUnit14,right,233,54,0.53,2,NaN
bp229n02-mm,spikeUnit18,right,89,54,0.58,1,NaN
bp229n02-mm,spikeUnit18,right,233,54,0.58,1,NaN
bp229n02-mm,spikeUnit18,right,377,54,0.53,2,NaN
bp229n02-mm,spikeUnit18,right,233,54,0.53,2,NaN
bp230n02-mm,spikeUnit11,right,232,98,0.58,1,33
bp230n02-mm,spikeUnit11,right,232,98,0.53,2,NaN
bp230n02-mm,spikeUnit11,right,378,98,0.53,2,53
bp230n02-mm,spikeUnit11,right,88,98,0.58,1,NaN
bp230n02-mm,spikeUnit11,right,378,98,0.58,1,NaN
bp230n02-mm,spikeUnit12,right,232,98,0.58,1,NaN
bp230n02-mm,spikeUnit12,right,232,98,0.53,2,NaN
bp230n02-mm,spikeUnit12,right,378,98,0.53,2,NaN
bp230n02-mm,spikeUnit12,right,88,98,0.58,1,NaN
bp230n02-mm,spikeUnit12,right,378,98,0.58,1,NaN
bp230n02-mm,spikeUnit25,right,232,98,0.58,1,-73
bp230n02-mm,spikeUnit25,right,232,98,0.53,2,-42
bp230n02-mm,spikeUnit25,right,378,98,0.53,2,-4
bp230n02-mm,spikeUnit25,right,88,98,0.58,1,-48
bp230n02-mm,spikeUnit25,right,378,98,0.58,1,NaN
bp232n02-mm,spikeUnit03,right,235,78,0.53,2,NaN
bp232n02-mm,spikeUnit03,right,92,78,0.58,1,NaN
bp232n02-mm,spikeUnit03,right,235,78,0.58,1,NaN
bp232n02-mm,spikeUnit03,right,380,78,0.53,2,-12
bp232n02-mm,spikeUnit03,right,92,78,0.53,2,NaN
bp232n02-mm,spikeUnit04,right,235,78,0.53,2,NaN
bp232n02-mm,spikeUnit04,right,92,78,0.58,1,NaN
bp232n02-mm,spikeUnit04,right,235,78,0.58,1,NaN
bp232n02-mm,spikeUnit04,right,380,78,0.53,2,NaN
bp232n02-mm,spikeUnit04,right,92,78,0.53,2,106
bp232n02-mm,spikeUnit09,right,235,78,0.53,2,-12
bp232n02-mm,spikeUnit09,right,92,78,0.58,1,-19
bp232n02-mm,spikeUnit09,right,235,78,0.58,1,NaN
bp232n02-mm,spikeUnit09,right,380,78,0.53,2,-43
bp232n02-mm,spikeUnit09,right,92,78,0.53,2,4
bp234n02,spikeUnit03,right,232,118,0.53,2,-65
bp234n02,spikeUnit03,right,87,118,0.58,1,29
bp234n02,spikeUnit03,right,232,118,0.58,1,NaN
bp234n02,spikeUnit03,right,87,118,0.53,2,NaN
bp234n02,spikeUnit10,right,232,118,0.53,2,NaN
bp234n02,spikeUnit10,right,87,118,0.58,1,NaN
bp234n02,spikeUnit10,right,232,118,0.58,1,NaN
bp234n02,spikeUnit10,right,87,118,0.53,2,NaN
bp234n02,spikeUnit11,left,377,118,0.42,1,NaN
bp234n02,spikeUnit11,left,377,118,0.47,2,NaN
bp234n02,spikeUnit11,left,232,118,0.47,2,NaN
bp234n02,spikeUnit11,left,523,118,0.42,1,NaN
bp234n02,spikeUnit11,left,523,118,0.47,2,NaN
bp234n02,spikeUnit20,left,377,118,0.42,1,NaN
bp234n02,spikeUnit20,left,377,118,0.47,2,-72
bp234n02,spikeUnit20,left,232,118,0.47,2,NaN
bp234n02,spikeUnit20,left,523,118,0.42,1,-47
bp234n02,spikeUnit20,left,523,118,0.47,2,-47
bp234n02,spikeUnit22,right,232,118,0.53,2,-70
bp234n02,spikeUnit22,right,87,118,0.58,1,NaN
bp234n02,spikeUnit22,right,232,118,0.58,1,-55
bp234n02,spikeUnit22,right,87,118,0.53,2,NaN
bp234n02,spikeUnit27,right,232,118,0.53,2,-80
bp234n02,spikeUnit27,right,87,118,0.58,1,-30
bp234n02,spikeUnit27,right,232,118,0.58,1,20
bp234n02,spikeUnit27,right,87,118,0.53,2,-108
bp235n02,spikeUnit04,right,88,83,0.58,1,NaN
bp235n02,spikeUnit04,right,232,83,0.53,2,NaN
bp235n02,spikeUnit04,right,378,83,0.53,2,NaN
bp235n02,spikeUnit04,right,232,83,0.58,1,NaN
bp235n02,spikeUnit05,right,88,83,0.58,1,NaN
bp235n02,spikeUnit05,right,232,83,0.53,2,-8
bp235n02,spikeUnit05,right,378,83,0.53,2,NaN
bp235n02,spikeUnit05,right,232,83,0.58,1,-73
bp237n02,spikeUnit15,right,378,57,0.53,2,NaN
bp237n02,spikeUnit15,right,233,57,0.58,1,NaN
bp237n02,spikeUnit15,right,233,57,0.53,2,NaN
bp237n02,spikeUnit15,right,87,57,0.58,1,NaN
bp237n02,spikeUnit15,right,378,57,0.58,1,-45
bp238n02,spikeUnit20,right,378,77,0.53,2,-16
bp238n02,spikeUnit20,right,232,77,0.58,1,NaN
bp238n02,spikeUnit20,right,232,77,0.53,2,71
bp238n02,spikeUnit20,right,378,77,0.58,1,NaN
bp238n02,spikeUnit20,right,87,77,0.58,1,NaN
bp240n02,spikeUnit14,left,378,62,0.47,2,-35
bp240n02,spikeUnit14,left,378,62,0.42,1,NaN
bp240n02,spikeUnit14,left,233,62,0.42,1,NaN
bp240n02,spikeUnit14,left,233,62,0.47,2,NaN
bp240n02,spikeUnit27,left,378,62,0.47,2,NaN
bp240n02,spikeUnit27,left,378,62,0.42,1,-41
bp240n02,spikeUnit27,left,233,62,0.42,1,NaN
bp240n02,spikeUnit27,left,233,62,0.47,2,92
bp240n02,spikeUnit28,right,378,62,0.53,2,-39
bp240n02,spikeUnit28,right,233,62,0.58,1,NaN
bp240n02,spikeUnit28,right,233,62,0.53,2,NaN
bp240n02,spikeUnit28,right,90,62,0.58,1,NaN
