session,unit,category,hemisphere,rf,ssd,ssrt,coherence,easyHard,nStop,pValue40msStopStop,cancelTime2Std,cancelTimeSdf,targToStopDiffSD,preSaccDiffSD
bp228n02,spikeUnit15,ddm_cancel,left,right,88,65,0.58,1,31,0.145863044447159,16,-47,-1.54107377838751,-21.4187128653041
bp229n02-mm,spikeUnit03,ddm_cancel,left,right,89,54,0.58,1,20,0.451436863271589,48,28,-1.07348110988312,-10.9529398855577
bp229n02-mm,spikeUnit03,ddm_cancel,left,right,233,54,0.58,1,25,0.0295089278643355,-31,NaN,-0.726330278927122,-7.60393535639356
bp229n02-mm,spikeUnit03,ddm_cancel,left,right,377,54,0.53,2,35,0.505454514212743,41,NaN,-0.157288313050502,-12.1776323155501
bp229n02-mm,spikeUnit03,ddm_cancel,left,right,233,54,0.53,2,38,0.983310719313853,NaN,NaN,0.865356263331765,-7.14445408810528
bp229n02-mm,spikeUnit04,ddm_cancel,left,right,89,54,0.58,1,20,0.738721160437175,51,45,0.106042902480438,-10.02679648559
bp229n02-mm,spikeUnit04,ddm_cancel,left,right,233,54,0.58,1,25,0.15015462462537,10,8,-0.182435176132867,-9.12541817023102
bp229n02-mm,spikeUnit04,ddm_cancel,left,right,377,54,0.53,2,35,0.0278866906518475,-3,-1,-1.10466370860735,-7.70782470582992
bp229n02-mm,spikeUnit04,ddm_cancel,left,right,233,54,0.53,2,38,0.128551825359952,-48,12,-0.940298721311564,-5.5386176352779
bp229n02-mm,spikeUnit12,ddm_cancel,left,right,89,54,0.58,1,20,0.519455757327326,NaN,NaN,0.373962426414094,-23.0342176545531
bp229n02-mm,spikeUnit12,ddm_cancel,left,right,233,54,0.58,1,25,0.00713324854381076,NaN,-47,1.17441955370176,-23.0926646929428
bp229n02-mm,spikeUnit12,ddm_cancel,left,right,377,54,0.53,2,35,0.718931588744538,NaN,NaN,2.29278656688487,-4.19143180144089
bp229n02-mm,spikeUnit12,ddm_cancel,left,right,233,54,0.53,2,38,0.0518341404055521,NaN,64,1.14850946304733,1.38555367446775
