sessionID,unit,rf,ssd,ssrt,coherence,easyHard,cancelTime
bp227n02,spikeUnit07,right,87,65,0.58,1,NaN
bp228n02,spikeUnit09,right,232,63,0.58,1,17
bp228n02,spikeUnit09,right,232,63,0.53,2,152
bp228n02,spikeUnit09,right,378,63,0.53,2,35
bp228n02,spikeUnit09,right,88,63,0.58,1,123
bp228n02,spikeUnit13,left,378,63,0.42,1,26
bp228n02,spikeUnit13,left,378,63,0.47,2,-2
bp228n02,spikeUnit13,left,232,63,0.47,2,48
bp228n02,spikeUnit13,left,232,63,0.42,1,28
bp228n02,spikeUnit13,left,521,63,0.47,2,42
bp228n02,spikeUnit15,right,232,63,0.58,1,NaN
bp228n02,spikeUnit15,right,232,63,0.53,2,NaN
bp228n02,spikeUnit15,right,378,63,0.53,2,NaN
bp228n02,spikeUnit15,right,88,63,0.58,1,18
bp228n02,spikeUnit30,left,378,63,0.42,1,87
bp228n02,spikeUnit30,left,378,63,0.47,2,NaN
bp228n02,spikeUnit30,left,232,63,0.47,2,-6
bp228n02,spikeUnit30,left,232,63,0.42,1,-63
bp228n02,spikeUnit30,left,521,63,0.47,2,NaN
bp229n02-mm,spikeUnit02,right,89,53,0.58,1,165
bp229n02-mm,spikeUnit02,right,233,53,0.58,1,NaN
bp229n02-mm,spikeUnit02,right,377,53,0.53,2,58
bp229n02-mm,spikeUnit02,right,233,53,0.53,2,NaN
bp229n02-mm,spikeUnit03,right,89,53,0.58,1,49
bp229n02-mm,spikeUnit03,right,233,53,0.58,1,-31
bp229n02-mm,spikeUnit03,right,377,53,0.53,2,44
bp229n02-mm,spikeUnit03,right,233,53,0.53,2,NaN
bp229n02-mm,spikeUnit04,right,89,53,0.58,1,52
bp229n02-mm,spikeUnit04,right,233,53,0.58,1,9
bp229n02-mm,spikeUnit04,right,377,53,0.53,2,-2
bp229n02-mm,spikeUnit04,right,233,53,0.53,2,-47
bp229n02-mm,spikeUnit05,right,89,53,0.58,1,NaN
